IndustryName,Numberoffirms,AnnualAverageRevenueGrowth_Last5y,PretaxOperatingMargin_Unadj,AftertaxROC,AverageEffectiveTaxRate,UnleveredBeta,LeveredBeta,CostofEquity,StdDev_StockPrice,Pretax_CostofDebt,MarketDebttoCapital,CostofCapital,SalestoCapital,EVtoSales,EVtoEBITDA,EVtoEBIT,PricetoBook,TrailingPE,Non-cashWC_PercofRev,CapEx_PercofRevenues,NetCapEx_ofRevenues,ReinvestmentRate,ROE,DividendPayoutRatio,EquityReinvestmentRate,PretaxOperatingMargin_Adj
Advertising,58,0.18167,0.10617,0.36620,0.24713,1.34589,1.63174,0.13573,0.52722,0.05880,0.31029,0.10729,3.51261,1.96234,10.36021,17.03323,4.58609,13.99338,0.03141,0.03509,0.01775,0.55527,0.13567,0.67633,0.67633,0.11135
Aerospace/Defense,77,0.03992,0.08635,0.15249,0.16515,1.22930,1.41418,0.12280,0.37556,0.05500,0.20671,0.10594,1.86538,2.54511,14.59034,23.97612,4.93444,53.68600,0.46913,0.02913,0.00628,0.32747,0.09873,0.70697,0.70697,0.08922
Air Transport,21,0.02241,0.02112,0.03075,0.35993,0.69400,1.41597,0.12291,0.37727,0.05500,0.65076,0.06977,1.60152,1.01517,9.39373,47.45014,2.73534,71.79391,0.01048,0.09165,0.04029,2.09934,-0.11369,0.00000,0.00000,0.02138
Apparel,39,0.05836,0.10161,0.20567,0.20509,1.01638,1.32470,0.11749,0.38509,0.05500,0.34025,0.09155,2.10379,1.15929,7.02200,10.38179,2.42056,13.80457,0.26207,0.02233,0.01527,1.10251,0.13522,0.54316,0.54316,0.11113
Auto & Truck,31,0.28060,0.06433,0.06461,0.10579,1.22553,1.54060,0.13031,0.52614,0.05880,0.33418,0.10150,0.94529,1.81151,12.74522,27.01547,2.91732,10.30347,-0.00264,0.08323,0.04634,0.89083,0.15677,0.10550,0.10550,0.07030
Auto Parts,37,0.07074,0.05064,0.10259,0.21559,1.20244,1.47399,0.12636,0.39519,0.05500,0.29901,0.10091,1.97471,0.82277,7.17963,14.54055,1.89006,31.62819,0.16055,0.03613,0.03670,1.62706,0.07034,0.37140,0.37140,0.05678
Bank (Money Center),7,0.01940,0.00000,0.00026,0.17163,0.73934,1.08010,0.10296,0.19594,0.04730,0.68393,0.05680,0.31756,4.49493,,,0.98756,9.51654,,0.01307,0.01307,-128.48607,0.11345,0.28362,0.28362,0.00099
Banks (Regional),557,0.11020,0.00000,-0.00037,0.21055,0.41298,0.50487,0.06879,0.16758,0.04730,0.39254,0.05571,0.46900,4.34362,,,1.23670,24.60128,,0.02936,-0.04345,,0.11799,0.29107,0.29107,-0.00097
Beverage (Alcoholic),23,0.12544,0.20063,0.14658,0.34926,0.88078,1.01297,0.09897,0.49875,0.05500,0.18639,0.08821,0.80200,4.07134,15.90512,20.15188,3.19243,111.50159,0.15336,0.07876,0.05680,0.56822,0.05285,0.79003,0.79003,0.20171
Beverage (Soft),31,0.15049,0.19037,0.28719,0.18188,1.20141,1.30344,0.11622,0.41717,0.05500,0.13246,0.10629,1.60299,4.66686,20.00835,24.13717,8.22727,39.55259,-0.09058,0.04662,0.05677,0.29140,0.31945,0.56517,0.56517,0.19144
Broadcasting,26,0.19544,0.14575,0.13517,0.21952,0.70216,1.32206,0.11733,0.46898,0.05500,0.59487,0.07207,1.08822,1.32735,6.55196,8.98425,0.88177,6.93319,0.10621,0.02493,0.02547,2.10139,0.20759,0.14362,0.14362,0.14746
Brokerage & Investment Banking,30,0.14229,0.00409,0.00056,0.20824,0.69375,1.20481,0.11037,0.27996,0.05500,0.66787,0.06421,0.26391,4.45846,,,1.62224,15.39883,,0.03806,0.02505,-106.71129,0.13434,0.28688,0.28688,0.00262
Building Materials,45,0.10598,0.13808,0.34596,0.22046,1.09836,1.27728,0.11467,0.29190,0.05500,0.22436,0.09820,2.96466,1.35998,7.84954,9.73387,3.18926,15.73180,0.18213,0.02458,0.04679,0.72992,0.32729,0.12954,0.12954,0.13999
Business & Consumer Services,164,0.08464,0.09028,0.23991,0.22537,1.01987,1.17092,0.10835,0.45782,0.05500,0.21553,0.09389,2.80467,2.05483,13.17827,21.79131,3.90023,33.71994,0.13039,0.02842,0.05719,1.02038,0.12850,0.28226,0.28226,0.09423
Cable TV,10,0.20049,0.19896,0.12126,0.29817,0.70592,1.25516,0.11336,0.25407,0.05500,0.51753,0.07604,0.79549,2.42714,7.38834,12.43497,2.04211,11.03181,0.00593,0.11050,-0.00487,0.01518,0.12138,0.29051,0.29051,0.19528
Chemical (Basic),38,0.27020,0.13053,0.25379,0.20967,0.95899,1.24710,0.11288,0.46579,0.05500,0.32569,0.08955,2.14054,0.88799,4.91886,6.65856,1.94069,9.95077,0.13502,0.04695,0.05259,0.58552,0.34777,0.27395,0.27395,0.13149
Chemical (Diversified),4,0.01753,0.13516,0.20350,0.17553,1.09026,1.41259,0.12271,0.39493,0.05500,0.36806,0.09273,1.69607,0.91038,5.01572,6.70701,1.88926,4.91364,0.14469,0.03796,0.00041,0.23180,0.43436,0.14607,0.14607,0.13629
Chemical (Specialty),76,0.09482,0.14621,0.17826,0.21518,1.11525,1.27729,0.11467,0.42320,0.05500,0.21510,0.09888,1.30038,2.47848,10.53008,16.53315,2.82960,34.72553,0.22711,0.05927,0.06216,0.91872,0.11429,0.40462,0.40462,0.15300
Coal & Related Energy,19,-0.03715,0.22155,0.41786,0.05788,1.42891,1.45218,0.12506,0.61957,0.05880,0.17837,0.11062,1.91446,1.43173,3.81372,5.31350,2.45758,70.10022,0.07193,0.06654,0.01341,0.16330,0.74084,0.20434,0.20434,0.22331
Computer Services,80,0.10479,0.06572,0.28393,0.20902,0.99322,1.17139,0.10838,0.47775,0.05500,0.24564,0.09189,4.36213,1.17055,10.56316,16.72339,4.03273,16.82662,0.15591,0.01230,-0.00221,0.30657,0.12149,0.93583,0.93583,0.06955
Computers/Peripherals,42,0.16357,0.21410,0.42628,0.16701,1.22704,1.29109,0.11549,0.48725,0.05500,0.08695,0.10904,2.12396,3.66752,14.73353,17.08090,25.56140,60.37199,-0.08762,0.03043,0.01816,0.06275,0.96260,0.16947,0.16947,0.22027
Construction Supplies,49,0.05017,0.11132,0.14547,0.21149,1.07606,1.26440,0.11391,0.35112,0.05500,0.23152,0.09708,1.41718,2.14913,12.93416,18.74941,3.65591,23.67018,0.20313,0.05343,0.06040,1.13903,0.18777,0.32156,0.32156,0.11439
Diversified,23,0.07692,0.03442,0.02845,0.15969,0.93950,1.03823,0.10047,0.57844,0.05880,0.17517,0.09060,0.80914,2.49707,30.95511,69.44109,1.84590,14.45834,0.07614,0.04250,0.02762,1.70190,0.00825,1.50678,1.50678,0.03623
