Industry Name,Number of firms,Annual Average Revenue growth - Last 5 years,Pre-tax Operating Margin (Unadjusted),After-tax ROC,Average effective tax rate,Unlevered Beta,Equity (Levered) Beta,Cost of equity,Std deviation in stock prices,Pre-tax cost of debt,Market Debt/Capital,Cost of capital,Sales/Capital,EV/Sales,EV/EBITDA,EV/EBIT,Price/Book,Trailing PE,Non-cash WC as % of Revenues,Cap Ex as % of Revenues,Net Cap Ex as % of Revenues,Reinvestment Rate,ROE,Dividend Payout Ratio,Equity Reinvestment Rate,Pre-tax Operating Margin (Lease & R&D adjusted)
Advertising,362,0.073496794,0.090308891,0.213387231,0.250721053,1.174347342,1.293583493,0.142027963,0.396957396,0.0695,0.265591166,0.118211443,2.711138672,1.511817116,10.54945832,15.50436798,2.335462071,39.75915906,-0.02605963,0.021484748,0.007215983,0.277741099,0.102008646,0.444511434,0.444511434,0.092224503
Aerospace/Defense,278,0.073714201,0.080244041,0.121437021,0.163635783,1.057369275,1.158055263,0.13121281,0.362293403,0.0695,0.188553168,0.116343798,1.692127515,2.262635626,15.26631505,24.54544847,4.35732338,69.87388551,0.423431014,0.03391517,0.009353076,0.413784266,0.080355182,0.729514935,0.729514935,0.07998193
Air Transport,155,-0.024202562,0.012353379,0.009035525,0.130837008,0.761614227,1.235420692,0.137386571,0.308633119,0.0695,0.523768223,0.092849396,0.80542278,1.936751018,10.9804752,106.6657342,2.938289479,75.85609215,-0.035817592,0.096693065,0.032559148,9.554712599,-0.093242947,0.004419175,0.004419175,0.012274594
Apparel,1146,0.046189893,0.147436273,0.200934223,0.237818636,0.841936021,0.90237889,0.110809835,0.347813544,0.0695,0.153618524,0.10182999,1.580619015,2.357231323,12.58466593,15.48660295,3.630902384,73.5632439,0.214939443,0.036609584,0.016666738,0.489876023,0.153077226,0.428830858,0.428830858,0.149436576
Auto & Truck,154,0.08206596,0.065845764,0.053357693,0.213657459,1.033835593,1.352623135,0.146739326,0.338967894,0.0695,0.424275929,0.106694053,0.924713369,1.082392518,9.203088454,15.83555457,1.292431961,27.78183818,0.007971307,0.060423265,0.027560794,0.501947219,0.115181745,0.225055955,0.225055955,0.065170324
Auto Parts,746,0.051579861,0.03647901,0.042228601,0.257467574,1.287546784,1.41301016,0.151558211,0.314997515,0.0695,0.260559047,0.125709747,1.468985886,0.830583059,9.466619658,21.8608406,1.391709907,39.30186874,0.131426199,0.051411946,0.031668609,2.064763432,0.052512079,0.518524134,0.518524134,0.034943488
Bank (Money Center),596,0.105348482,4.17648E-05,4.16846E-05,0.186773326,0.437611472,0.875215474,0.108642195,0.216753809,0.0618,0.750255974,0.062060111,0.140233313,6.689045222,,,0.812851904,13.73913391,,0.032404484,0.034360841,84.1898226,0.010335043,0.334834005,0.334834005,0.000376027
Banks (Regional),800,0.090058797,0.000100473,-3.66803E-05,0.198257989,0.357756586,0.563870289,0.083796849,0.178301803,0.0618,0.659194481,0.059246529,0.193529479,5.504574764,,,0.891884173,20.71198149,,0.031580239,-0.013115481,,0.09043694,0.275245,0.275245,-0.000254098
Beverage (Alcoholic),220,0.091329398,0.219750042,0.139309252,0.238137668,0.810718193,0.872156443,0.108398084,0.285719576,0.0695,0.140715825,0.100511844,0.765623327,4.332294816,16.17227641,19.50307809,3.573674589,69.35161012,0.086871481,0.04580136,0.009414363,0.016495763,0.14498308,0.41804096,0.41804096,0.219658505
Beverage (Soft),100,0.090173051,0.165494891,0.226109548,0.199678697,0.794718326,0.855900192,0.107100835,0.310523614,0.0695,0.133284977,0.099803951,1.570464526,3.903378543,18.72843952,23.26588194,6.611053706,44.95759961,-0.064905246,0.045824689,0.041904158,0.258337305,0.247089303,0.546915728,0.546915728,0.1662055
Broadcasting,135,0.044277545,0.130843187,0.108865311,0.237660542,0.744429567,1.056974327,0.123146551,0.34716622,0.0695,0.446411955,0.091544066,0.99150565,1.223702206,6.469753704,9.086302445,0.812190288,22.8577404,0.113787128,0.035670957,0.017539067,1.308556033,0.297811158,0.100933238,0.100933238,0.131503723
Brokerage & Investment Banking,592,0.104019196,0.00726905,0.001123703,0.202349581,0.450950333,0.991462428,0.117918702,0.349876137,0.0695,0.705777883,0.071644832,0.193220103,5.369243987,197.2829134,,1.216181355,60.94959555,,0.028564236,-0.005022949,-39.91358493,0.092032783,0.522399322,0.522399322,0.006873375
Building Materials,454,0.076625747,0.107401627,0.163682975,0.216415137,0.997551732,1.106529222,0.127101032,0.298680722,0.0695,0.201770937,0.112019324,1.851184272,1.439064596,9.662330016,13.03055849,2.406279789,42.2799835,0.17342708,0.038306836,0.040279969,0.86926826,0.151180803,0.302968027,0.302968027,0.107560446
Business & Consumer Services,961,0.077030525,0.085210415,0.194919869,0.241466721,0.996748844,1.094243035,0.126120594,0.355080429,0.0695,0.188705534,0.112200496,2.631831541,1.796327022,13.45868023,20.23265239,3.557244153,43.80995287,0.097639903,0.026116173,0.043555398,0.867277801,0.101739413,0.54671438,0.54671438,0.088319092
Cable TV,54,0.042067907,0.192687323,0.126524662,0.283906819,0.605432995,1.023983376,0.120513873,0.26282181,0.0695,0.494509818,0.08680832,0.769195687,2.494407829,7.497175384,12.94034418,1.929850103,29.82018488,0.015449066,0.115582233,0.001154136,0.06113596,0.109012673,0.353703324,0.353703324,0.189550836
Chemical (Basic),879,0.123867878,0.100204192,0.107451396,0.188325147,0.987786584,1.139911479,0.129764936,0.326494374,0.0695,0.270518442,0.108823945,1.265574183,1.236485572,8.305867371,11.91691787,1.563340419,32.4611822,0.130467717,0.07741642,0.06290272,1.197955767,0.130154407,0.464163332,0.464163332,0.100698126
Chemical (Diversified),68,0.079258833,0.102088535,0.088860578,0.2210946,0.941950695,1.195824874,0.134226825,0.24921265,0.0618,0.342879397,0.104165599,1.14663382,0.942967239,6.171064178,9.162062198,1.124536798,13.50879549,0.172172328,0.054474924,0.019688975,0.802389176,0.136500874,0.2929229,0.2929229,0.099179563
Chemical (Specialty),922,0.123586918,0.154725558,0.1715001,0.217210788,1.021201319,1.106862818,0.127127653,0.341491875,0.0695,0.174590794,0.114072923,1.30543755,2.015711764,9.479471948,12.82360564,2.499068832,33.68994772,0.184477659,0.06744485,0.049838107,0.757381035,0.159010471,0.33805283,0.33805283,0.156108206
Coal & Related Energy,212,0.190732478,0.291237993,0.386098523,0.230848347,1.352835087,1.211961213,0.135514505,0.587269503,0.0733,0.195550453,0.11981227,1.46088036,1.088183492,3.008895759,3.60107604,1.415926925,19.36129606,-0.008295759,0.058582103,0.036084716,0.143013946,0.314384629,0.408957237,0.408957237,0.292079834
